id,Batch size,Memory per executor,Cores per executor,Total executor cores,Nodes,Model,Wall clock,Start log,End log,Note
31,64,2G,1,1,1,lenet5,327.521835684s,00:01:35,00:07:50,
32,64,2G,1,1,1,lenet5,325.779316906s,00:07:53,00:14:40,
33,64,2G,1,1,1,lenet5,319.521097338s,00:14:43,00:20:55,
34,64,2G,1,1,1,lenet5,319.64025108s,00:20:59,00:27:10,
160,64,2G,1,4,4,bi-rnn,1160.792168134s,20:03:18,20:46:56,
161,64,2G,1,4,4,bi-rnn,1185.705722305s,20:47:00,21:44:06,
163,64,2G,1,4,4,bi-rnn,1082.267651066s,22:08:42,22:38:30,
284,64,2G,4,4,1,bi-rnn,448.016374477s,13:49:26,13:57:25,
285,64,2G,4,4,1,bi-rnn,447.684632489s,13:57:28,14:05:21,
286,64,2G,4,4,1,bi-rnn,439.270670833s,14:05:25,14:13:10,
287,64,2G,4,4,1,bi-rnn,448.244983427s,14:13:13,14:21:07,
61,64,2G,4,16,4,lenet5,496.975525687s,18:42:29,18:51:08,
62,64,2G,4,16,4,lenet5,491.383627619s,18:51:12,18:59:46,
63,64,2G,4,16,4,lenet5,487.011198476s,18:59:50,19:08:20,
64,64,2G,4,16,4,lenet5,487.210051833s,19:08:24,19:16:55,
249,256,2G,1,1,1,bi-rnn,2343s,18:40:26,19:19:29,
250,256,2G,1,1,1,bi-rnn,2011s,19:19:33,19:53:04,
251,256,2G,1,1,1,bi-rnn,1976.653224556s,19:53:07,20:27:37,
252,256,2G,1,1,1,bi-rnn,1919.602948397s,20:27:41,21:00:32,
80,256,2G,1,4,4,lenet5,97.937505906s,17:55:46,17:57:53,
81,256,2G,1,4,4,lenet5,104.362404734s,17:57:56,18:00:08,
82,256,2G,1,4,4,lenet5,98.245546065s,18:00:12,18:02:17,
83,256,2G,1,4,4,lenet5,96.812719398s,18:02:21,18:04:23,
174,256,2G,4,4,1,lenet5,86.312304114s,07:04:51,07:06:38,
175,256,2G,4,4,1,lenet5,88.912039748s,07:06:42,07:08:32,
176,256,2G,4,4,1,lenet5,87.395551233s,07:08:35,07:10:23,
177,256,2G,4,4,1,lenet5,87.644849084s,07:10:26,07:12:15,
178,256,2G,4,4,1,lenet5,88.741585958s,07:12:18,07:14:08,
90,256,2G,4,16,4,bi-rnn,148.628587982s,20:25:29,20:28:19,
91,256,2G,4,16,4,bi-rnn,151.509547988s,20:28:23,20:31:17,
92,256,2G,4,16,4,bi-rnn,150.103487635s,20:31:20,20:34:14,
93,256,2G,4,16,4,bi-rnn,151.529120019s,20:34:17,20:37:11,
94,256,2G,4,16,4,bi-rnn,149.808148597s,20:37:14,20:40:07,
